Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,,,,,,,,
FPix_BpO_D1_BLD13_PNL1_RNG2,,13B,M-N-3-28,10021,2,1Bc,1BC,1,PR033,,PB-20,J11,1,,,CI-A 049,P80,19,SN112498/0060,14,30201210004626,A,0x7e,0x10,+z down left 4,1,+z down left 2,2,11,blue-1,1/2,6,t,1292,up center,,10,1,1,,,,,,,,
FPix_BpO_D1_BLD14_PNL1_RNG2,,14B,M-M-1-39,10043,5,1Bd,1BD,7,PR036,,PB-26,J11,1,,,CI-A 048,P82,19,SN112498/0060,14,30201210004626,B,0x7d,0x10,+z down left 4,1,+z down left 2,2,11,green-3,5/6,6,t,1292,up center,,10,1,2,,,,,,,,
FPix_BpO_D1_BLD15_PNL1_RNG2,,15B,M-Y-B-NB,7022,4,1Bd,1BD,5,PR036,,PB-26,J11,1,,,CI-A 048,P82,20,SN112498/0042,14,30201210004626,B,0x7d,0x10,+z down left 3,3,+z down left 2,2,12,green-3,29/30,6,b,1292,up center,,10,1,2,,,,,,,,
FPix_BpO_D1_BLD16_PNL1_RNG2,,16B,M-N-3-49,10013,3,1Bd,1BD,3,PR036,,PB-26,J11,1,,,CI-A 048,P82,21,SN112498/0054,14,30201210004626,B,0x7d,0x10,+z down left 3,2,+z down left 2,2,13,green-3,5/6,7,t,1293,up center,,10,1,2,,,,,,,,
FPix_BpO_D1_BLD17_PNL1_RNG2,,17B,M-M-1-13,7025,2,1Bd,1BD,1,PR036,,PB-26,J11,1,,,CI-A 048,P82,22,SN112498/0053,14,30201210004626,B,0x7d,0x10,+z down left 3,1,+z down left 2,2,14,green-3,29/30,7,b,1293,up center,,10,1,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPix_BpO_D2_BLD1_PNL2_RNG1,HC4-Disk2-Inner,1T,M-I-1-02,11032,15,2Ta,2TA,6,PR107,,PB-23,J12,4,,,CI-A 038,P41,1,SN112498/0007,9,30201210004613,A,0x7b,0x11,+z up left 3,1,+z up left 2,3,1,black-8,15/16,1,t,1287,up center,,9,2,1,BpO,,,,,,,
FPix_BpO_D2_BLD2_PNL2_RNG1,,2T,M-P-3-48,6100,14,2Ta,2TA,4,PR107,,PB-23,J12,4,,,CI-A 038,P41,2,SN112498/0021,9,30201210004613,A,0x7b,0x11,+z up left 3,2,+z up left 2,3,2,black-8,39/40,1,b,1287,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD3_PNL2_RNG1,,3T,M-P-3-43,11007,13,2Ta,2TA,2,PR107,,PB-23,J12,4,,,CI-A 038,P41,3,SN112498/0022,9,30201210004613,A,0x7b,0x11,+z up left 3,3,+z up left 2,3,3,black-8,15/16,2,t,1288,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD4_PNL2_RNG1,,4T,M-N-3-02,11009,15,2Tb,2TB,6,PR139,,PB-6,J12,4,,,CI-A 011,P106,5,SN112498/0023,9,30201210004613,B,0x7c,0x11,+z up left 4,1,+z up left 2,3,5,white-6,11/12,3,t,1289,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD5_PNL2_RNG1,,5T,M-P-4-08,11018,14,2Tb,2TB,2,PR139,,PB-6,J12,4,,,CI-A 011,P106,7,SN112498/0025,9,30201210004613,B,0x7c,0x11,+z up left 4,3,+z up left 2,3,7,white-6,11/12,4,t,1290,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD6_PNL2_RNG1,,6T,M-P-4-44,6004,15,2Tc,2TC,6,PR146,,PB-45,J12,4,,,CI-A 044,P108,12,SN112498/0020,15,30201210004619,A,0x7e,0x11,+z down left 4,4,+z down left 2,3,8,black-8,39/40,4,b,1290,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD7_PNL2_RNG1,,7T,M-I-4-12,11024,14,2Tc,2TC,4,PR146,,PB-45,J12,4,,,CI-A 044,P108,13,SN112498/0057,15,30201210004619,A,0x7e,0x11,+z down left 4,3,+z down left 2,3,9,black-8,15/16,5,t,1291,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD8_PNL2_RNG1,,8T,M-P-2-42,11048,13,2Tc,2TC,2,PR146,,PB-45,J12,4,,,CI-A 044,P108,18,SN112498/0059,15,30201210004619,A,0x7e,0x11,+z down left 4,2,+z down left 2,3,10,black-8,39/40,5,b,1291,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD9_PNL2_RNG1,,9T,M-P-1-42,11033,15,2Td,2TD,6,PR144,,PB-30,J12,4,,,CI-A 054,P109,20,SN112498/0042,15,30201210004619,B,0x7d,0x11,+z down left 3,3,+z down left 2,3,12,white-6,35/36,6,b,1292,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD10_PNL2_RNG1,,10T,M-P-2-08,11010,14,2Td,2TD,4,PR144,,PB-30,J12,4,,,CI-A 054,P109,21,SN112498/0054,15,30201210004619,B,0x7d,0x11,+z down left 3,2,+z down left 2,3,13,white-6,11/12,7,t,1293,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD11_PNL2_RNG1,,11T,M-P-2-13,11015,13,2Td,2TD,2,PR144,,PB-30,J12,4,,,CI-A 054,P109,22,SN112498/0053,15,30201210004619,B,0x7d,0x11,+z down left 3,1,+z down left 2,3,14,white-6,35/36,7,b,1293,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD1_PNL1_RNG1,,1B,M-P-2-33,11005,12,2Ba,2BA,6,PR048,,PB-23,J11,2,,,CI-A 038,P118,1,SN112498/0007,9,30201210004613,A,0x7b,0x11,+z up left 3,1,+z up left 2,3,1,red-7,13/14,1,t,1287,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD2_PNL1_RNG1,,2B,M-Y-E-NJ,11001,11,2Ba,2BA,4,PR048,,PB-23,J11,2,,,CI-A 038,P118,2,SN112498/0021,9,30201210004613,A,0x7b,0x11,+z up left 3,2,+z up left 2,3,2,red-7,37/38,1,b,1287,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD3_PNL1_RNG1,,3B,M-P-1-09,11034,10,2Ba,2BA,2,PR048,,PB-23,J11,2,,,CI-A 038,P118,3,SN112498/0022,9,30201210004613,A,0x7b,0x11,+z up left 3,3,+z up left 2,3,3,red-7,13/14,2,t,1288,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD4_PNL1_RNG1,,4B,M-P-3-50,6019,13,2Bb,2BB,6,PR039,,PB-6,J11,2,,,CI-A 011,P39,5,SN112498/0023,9,30201210004613,B,0x7c,0x11,+z up left 4,1,+z up left 2,3,5,gray-5,9/10,3,t,1289,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD5_PNL1_RNG1,,5B,M-P-2-44,6003,12,2Bb,2BB,2,PR039,,PB-6,J11,2,,,CI-A 011,P39,7,SN112498/0025,9,30201210004613,B,0x7c,0x11,+z up left 4,3,+z up left 2,3,7,gray-5,9/10,4,t,1290,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD6_PNL1_RNG1,,6B,M-P-3-14,6015,12,2Bc,2BC,6,PR045,,PB-45,J11,2,,,CI-A 044,P42,12,SN112498/0020,15,30201210004619,A,0x7e,0x11,+z down left 4,4,+z down left 2,3,8,red-7,37/38,4,b,1290,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD7_PNL1_RNG1,,7B,M-P-1-43,11036,11,2Bc,2BC,4,PR045,,PB-45,J11,2,,,CI-A 044,P42,13,SN112498/0057,15,30201210004619,A,0x7e,0x11,+z down left 4,3,+z down left 2,3,9,red-7,13/14,5,t,1291,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD8_PNL1_RNG1,,8B,M-I-2-03,6014,10,2Bc,2BC,2,PR045,,PB-45,J11,2,,,CI-A 044,P42,18,SN112498/0059,15,30201210004619,A,0x7e,0x11,+z down left 4,2,+z down left 2,3,10,red-7,37/38,5,b,1291,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD9_PNL1_RNG1,,9B,M-Y-Q-NK,11043,12,2Bd,2BD,6,PR044,,PB-30,J11,2,,,CI-A 054,P40,20,SN112498/0042,15,30201210004619,B,0x7d,0x11,+z down left 3,3,+z down left 2,3,12,gray-5,33/34,6,b,1292,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD10_PNL1_RNG1,,10B,M-I-2-12,6009,11,2Bd,2BD,4,PR044,,PB-30,J11,2,,,CI-A 054,P40,21,SN112498/0054,15,30201210004619,B,0x7d,0x11,+z down left 3,2,+z down left 2,3,13,gray-5,9/10,7,t,1293,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD11_PNL1_RNG1,,11B,M-K-3-17,6008,10,2Bd,2BD,2,PR044,,PB-30,J11,2,,,CI-A 054,P40,22,SN112498/0053,15,30201210004619,B,0x7d,0x11,+z down left 3,1,+z down left 2,3,14,gray-5,33/34,7,b,1293,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD1_PNL2_RNG2,HC4-Disk2-Outer,1T,M-P-1-46,11057,9,2Ta,2TA,7,PR107,,PB-23,J12,3,,,CI-A 038,P41,1,SN112498/0007,9,30201210004613,A,0x7b,0x11,+z up left 3,1,+z up left 2,3,1,white-6,11/12,1,t,1287,up center,,9,2,1,BpO,,,,,,,
FPix_BpO_D2_BLD2_PNL2_RNG2,,2T,M-I-4-33,11022,8,2Ta,2TA,5,PR107,,PB-23,J12,3,,,CI-A 038,P41,2,SN112498/0021,9,30201210004613,A,0x7b,0x11,+z up left 3,2,+z up left 2,3,2,white-6,35/36,1,b,1287,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD3_PNL2_RNG2,,3T,M-P-2-17,11030,7,2Ta,2TA,3,PR107,,PB-23,J12,3,,,CI-A 038,P41,3,SN112498/0022,9,30201210004613,A,0x7b,0x11,+z up left 3,3,+z up left 2,3,3,white-6,11/12,2,t,1288,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD4_PNL2_RNG2,,4T,M-L-3-35,11069,6,2Ta,2TA,1,PR107,,PB-23,J12,3,,,CI-A 038,P41,4,SN112498/0024,9,30201210004613,A,0x7b,0x11,+z up left 3,4,+z up left 2,3,4,white-6,35/36,2,b,1288,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD5_PNL2_RNG2,,5T,M-P-2-43,11008,11,2Tb,2TB,7,PR139,,PB-6,J12,3,,,CI-A 011,P106,4,SN112498/0024,9,30201210004613,B,0x7c,0x11,+z up left 3,4,+z up left 2,3,4,black-8,39/40,2,b,1288,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD6_PNL2_RNG2,,6T,M-Y-S-ND,11066,10,2Tb,2TB,5,PR139,,PB-6,J12,3,,,CI-A 011,P106,5,SN112498/0023,9,30201210004613,B,0x7c,0x11,+z up left 4,1,+z up left 2,3,5,black-8,15/16,3,t,1289,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD7_PNL2_RNG2,,7T,M-O-2-26,11044,9,2Tb,2TB,4,PR139,,PB-6,J12,4,,,CI-A 011,P106,6,SN112498/0058,9,30201210004613,B,0x7c,0x11,+z up left 4,2,+z up left 2,3,6,white-6,35/36,3,b,1289,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD8_PNL2_RNG2,,8T,M-K-3-14,11038,8,2Tb,2TB,3,PR139,,PB-6,J12,3,,,CI-A 011,P106,6,SN112498/0058,9,30201210004613,B,0x7c,0x11,+z up left 4,2,+z up left 2,3,6,black-8,39/40,3,b,1289,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD9_PNL2_RNG2,,9T,M-P-3-42,11051,7,2Tb,2TB,1,PR139,,PB-6,J12,3,,,CI-A 011,P106,7,SN112498/0025,9,30201210004613,B,0x7c,0x11,+z up left 4,3,+z up left 2,3,7,black-8,15/16,4,t,1290,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD10_PNL2_RNG2,,10T,M-P-3-05,10014,9,2Tc,2TC,7,PR146,,PB-45,J12,3,,,CI-A 044,P108,12,SN112498/0020,15,30201210004619,A,0x7e,0x11,+z down left 4,4,+z down left 2,3,8,white-6,35/36,4,b,1290,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD11_PNL2_RNG2,,11T,M-P-3-20,11004,8,2Tc,2TC,5,PR146,,PB-45,J12,3,,,CI-A 044,P108,13,SN112498/0057,15,30201210004619,A,0x7e,0x11,+z down left 4,3,+z down left 2,3,9,white-6,11/12,5,t,1291,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD12_PNL2_RNG2,,12T,M-O-2-49,11072,7,2Tc,2TC,3,PR146,,PB-45,J12,3,,,CI-A 044,P108,18,SN112498/0059,15,30201210004619,A,0x7e,0x11,+z down left 4,2,+z down left 2,3,10,white-6,35/36,5,b,1291,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD13_PNL2_RNG2,,13T,M-I-2-08,11042,6,2Tc,2TC,1,PR146,,PB-45,J12,3,,,CI-A 044,P108,19,SN112498/0060,15,30201210004619,A,0x7e,0x11,+z down left 4,1,+z down left 2,3,11,white-6,11/12,6,t,1292,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD14_PNL2_RNG2,,14T,M-P-1-34,11017,9,2Td,2TD,7,PR144,,PB-30,J12,3,,,CI-A 054,P109,19,SN112498/0060,15,30201210004619,B,0x7d,0x11,+z down left 4,1,+z down left 2,3,11,black-8,15/16,6,t,1292,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD15_PNL2_RNG2,,15T,M-P-2-49,10011,8,2Td,2TD,5,PR144,,PB-30,J12,3,,,CI-A 054,P109,20,SN112498/0042,15,30201210004619,B,0x7d,0x11,+z down left 3,3,+z down left 2,3,12,black-8,39/40,6,b,1292,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD16_PNL2_RNG2,,16T,M-P-2-14,11035,7,2Td,2TD,3,PR144,,PB-30,J12,3,,,CI-A 054,P109,21,SN112498/0054,15,30201210004619,B,0x7d,0x11,+z down left 3,2,+z down left 2,3,13,black-8,15/16,7,t,1293,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD17_PNL2_RNG2,,17T,M-C-6-34,11012,6,2Td,2TD,1,PR144,,PB-30,J12,3,,,CI-A 054,P109,22,SN112498/0053,15,30201210004619,B,0x7d,0x11,+z down left 3,1,+z down left 2,3,14,black-8,39/40,7,b,1293,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD1_PNL1_RNG2,,1B,M-P-3-32,11049,5,2Ba,2BA,7,PR048,,PB-23,J11,1,,,CI-A 038,P118,1,SN112498/0007,9,30201210004613,A,0x7b,0x11,+z up left 3,1,+z up left 2,3,1,gray-5,9/10,1,t,1287,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD2_PNL1_RNG2,,2B,M-Y-B-NA,11013,4,2Ba,2BA,5,PR048,,PB-23,J11,1,,,CI-A 038,P118,2,SN112498/0021,9,30201210004613,A,0x7b,0x11,+z up left 3,2,+z up left 2,3,2,gray-5,33/34,1,b,1287,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD3_PNL1_RNG2,,3B,M-I-4-48,11006,3,2Ba,2BA,3,PR048,,PB-23,J11,1,,,CI-A 038,P118,3,SN112498/0022,9,30201210004613,A,0x7b,0x11,+z up left 3,3,+z up left 2,3,3,gray-5,9/10,2,t,1288,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD4_PNL1_RNG2,,4B,M-O-2-04,11020,2,2Ba,2BA,1,PR048,,PB-23,J11,1,,,CI-A 038,P118,4,SN112498/0024,9,30201210004613,A,0x7b,0x11,+z up left 3,4,+z up left 2,3,4,gray-5,33/34,2,b,1288,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD5_PNL1_RNG2,,5B,M-P-3-23,10010,6,2Bb,2BB,7,PR039,,PB-6,J11,1,,,CI-A 011,P39,4,SN112498/0024,9,30201210004613,B,0x7c,0x11,+z up left 3,4,+z up left 2,3,4,red-7,37/38,2,b,1288,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD6_PNL1_RNG2,,6B,M-P-2-34,11025,5,2Bb,2BB,5,PR039,,PB-6,J11,1,,,CI-A 011,P39,5,SN112498/0023,9,30201210004613,B,0x7c,0x11,+z up left 4,1,+z up left 2,3,5,red-7,13/14,3,t,1289,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD7_PNL1_RNG2,,7B,M-P-1-14,10018,4,2Bb,2BB,4,PR039,,PB-6,J11,2,,,CI-A 011,P39,6,SN112498/0058,9,30201210004613,B,0x7c,0x11,+z up left 4,2,+z up left 2,3,6,gray-5,33/34,3,b,1289,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD8_PNL1_RNG2,,8B,M-H-1-28,10004,3,2Bb,2BB,3,PR039,,PB-6,J11,1,,,CI-A 011,P39,6,SN112498/0058,9,30201210004613,B,0x7c,0x11,+z up left 4,2,+z up left 2,3,6,red-7,37/38,3,b,1289,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD9_PNL1_RNG2,,9B,M-I-4-29,11014,2,2Bb,2BB,1,PR039,,PB-6,J11,1,,,CI-A 011,P39,7,SN112498/0025,9,30201210004613,B,0x7c,0x11,+z up left 4,3,+z up left 2,3,7,red-7,13/14,4,t,1290,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD10_PNL1_RNG2,,10B,M-P-1-48,11037,5,2Bc,2BC,7,PR045,,PB-45,J11,1,,,CI-A 044,P42,12,SN112498/0020,15,30201210004619,A,0x7e,0x11,+z down left 4,4,+z down left 2,3,8,gray-5,33/34,4,b,1290,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD11_PNL1_RNG2,,11B,M-P-2-37,11002,4,2Bc,2BC,5,PR045,,PB-45,J11,1,,,CI-A 044,P42,13,SN112498/0057,15,30201210004619,A,0x7e,0x11,+z down left 4,3,+z down left 2,3,9,gray-5,9/10,5,t,1291,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD12_PNL1_RNG2,,12B,M-P-3-01,10016,3,2Bc,2BC,3,PR045,,PB-45,J11,1,,,CI-A 044,P42,18,SN112498/0059,15,30201210004619,A,0x7e,0x11,+z down left 4,2,+z down left 2,3,10,gray-5,33/34,5,b,1291,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD13_PNL1_RNG2,,13B,M-K-3-47,11055,2,2Bc,2BC,1,PR045,,PB-45,J11,1,,,CI-A 044,P42,19,SN112498/0060,15,30201210004619,A,0x7e,0x11,+z down left 4,1,+z down left 2,3,11,gray-5,9/10,6,t,1292,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD14_PNL1_RNG2,,14B,M-L-2-14,11028,5,2Bd,2BD,7,PR044,,PB-30,J11,1,,,CI-A 054,P40,19,SN112498/0060,15,30201210004619,B,0x7d,0x11,+z down left 4,1,+z down left 2,3,11,red-7,13/14,6,t,1292,up center,,10,2,2,,,,,,,,
FPix_BpO_D2_BLD15_PNL1_RNG2,,15B,M-O-1-24,11058,4,2Bd,2BD,5,PR044,,PB-30,J11,1,,,CI-A 054,P40,20,SN112498/0042,15,30201210004619,B,0x7d,0x11,+z down left 3,3,+z down left 2,3,12,red-7,37/38,6,b,1292,up center,,10,2,2,,,,,,,,
